City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Shediac,CA,77.52,scattered clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
11,Arraial Do Cabo,BR,70.11,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Hilo,US,89.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Axim,GH,72.5,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
19,Espanola,US,78.51,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
21,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
27,Arisvi,GR,74.82,clear sky,41.0667,25.5833,Basırlıköy Gençlik Odası
28,Duluth,US,75.29,clear sky,46.7833,-92.1066,South Pier Inn
29,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
30,Gorontalo,ID,80.58,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
31,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
32,Broome,US,80.65,overcast clouds,42.2506,-75.833,Chenango Valley State Park
34,Ribeira Grande,PT,75.16,few clouds,38.5167,-28.7,Quinta da Meia Eira
35,Kavieng,PG,84.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
39,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
42,Cairns,AU,82.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
47,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
48,Biga,TR,76.05,clear sky,40.2281,27.2422,Köşdere Otel
52,Manono,CD,71.98,few clouds,-7.3,27.4167,Hotel hewa bora
55,Bowen,AU,71.17,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
57,Salamiyah,SY,72.01,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
59,Victoria,HK,88.25,overcast clouds,22.2855,114.1577,Mini Central
61,Katsuura,JP,80.71,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
