City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kerman,IR,2022-08-02 23:31:46,30.2832,57.0788,71.46,28,0,9.22
1,Mount Gambier,AU,2022-08-02 23:31:47,-37.8333,140.7667,53.51,87,75,17.27
2,Barrow,US,2022-08-02 23:28:57,71.2906,-156.7887,42.82,81,0,10.36
3,Dzilam Gonzalez,MX,2022-08-02 23:31:47,21.2833,-88.9333,82.89,79,79,10.67
4,Bengkulu,ID,2022-08-02 23:31:48,-3.8004,102.2655,74.53,90,64,4.0
5,Punta Arenas,CL,2022-08-02 23:24:51,-53.15,-70.9167,39.31,93,75,2.3
6,Henties Bay,NA,2022-08-02 23:31:48,-22.116,14.2845,52.86,79,0,4.97
7,Atuona,PF,2022-08-02 23:28:46,-9.8,-139.0333,77.31,76,9,14.58
8,Kapaa,US,2022-08-02 23:25:25,22.0752,-159.319,84.52,66,20,16.11
9,Benoy,TD,2022-08-02 23:31:49,8.9833,16.3199,70.72,94,100,4.65
10,Jamestown,US,2022-08-02 23:31:50,42.097,-79.2353,74.05,47,100,6.91
11,Airai,TL,2022-08-02 23:31:34,-8.9266,125.4092,66.52,42,64,2.37
12,Albany,US,2022-08-02 23:28:09,42.6001,-73.9662,82.81,55,35,1.99
13,Victoria,HK,2022-08-02 23:28:20,22.2855,114.1577,84.38,83,100,3.0
14,Korla,CN,2022-08-02 23:31:50,41.7597,86.1469,75.22,45,1,3.53
15,Los Llanos De Aridane,ES,2022-08-02 23:31:51,28.6585,-17.9182,67.75,83,20,18.41
16,Georgetown,MY,2022-08-02 23:30:07,5.4112,100.3354,78.89,93,40,9.22
17,Vila,PT,2022-08-02 23:31:51,42.0304,-8.1588,63.7,84,0,3.89
18,Taonan,CN,2022-08-02 23:31:52,45.3333,122.7833,75.85,74,100,7.74
19,Flinders,AU,2022-08-02 23:29:46,-34.5833,150.8552,58.37,71,97,8.99
20,Barranca,PE,2022-08-02 23:31:52,-10.75,-77.7667,60.96,83,22,9.91
21,Bubaque,GW,2022-08-02 23:31:52,11.2833,-15.8333,79.02,83,68,10.09
22,Puerto Escondido,MX,2022-08-02 23:29:07,15.85,-97.0667,85.03,61,75,3.44
23,Cidreira,BR,2022-08-02 23:31:53,-30.1811,-50.2056,60.51,86,52,10.11
24,Aklavik,CA,2022-08-02 23:31:53,68.2191,-135.0107,51.8,76,75,11.5
25,Ushuaia,AR,2022-08-02 23:27:14,-54.8,-68.3,35.26,100,75,5.75
26,Niltepec,MX,2022-08-02 23:31:54,16.5667,-94.6167,85.01,68,14,11.16
27,Thompson,CA,2022-08-02 23:30:12,55.7435,-97.8558,57.36,94,75,2.3
28,Beringovskiy,RU,2022-08-02 23:31:54,63.05,179.3167,57.33,65,68,3.36
29,Campo Verde,BR,2022-08-02 23:31:55,-20.4167,-54.0667,73.99,30,30,4.07
30,East London,ZA,2022-08-02 23:31:55,-33.0153,27.9116,65.61,61,65,5.32
31,Takab,IR,2022-08-02 23:31:55,36.4009,47.1133,69.93,27,0,2.55
32,Tongliao,CN,2022-08-02 23:31:56,43.6125,122.2653,76.96,85,98,6.38
33,Chokurdakh,RU,2022-08-02 23:31:57,70.6333,147.9167,56.48,56,100,7.43
34,Castro,BR,2022-08-02 23:29:35,-24.7911,-50.0119,60.42,63,0,3.42
35,Puerto Ayora,EC,2022-08-02 23:31:57,-0.7393,-90.3518,70.56,86,52,5.99
36,Pochutla,MX,2022-08-02 23:31:57,15.7432,-96.4661,84.81,71,50,4.83
37,Pevek,RU,2022-08-02 23:28:51,69.7008,170.3133,39.45,100,100,2.35
38,Hermanus,ZA,2022-08-02 23:31:58,-34.4187,19.2345,46.8,82,11,2.44
39,Kodiak,US,2022-08-02 23:31:58,57.79,-152.4072,63.91,52,40,20.71
40,Avarua,CK,2022-08-02 23:29:39,-21.2078,-159.775,77.05,57,100,11.5
41,Katsuura,JP,2022-08-02 23:30:19,35.1333,140.3,85.19,80,93,11.63
