City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,47.05,85,20,8.05,few clouds
1,Kodiak,US,57.79,-152.4072,63.91,48,40,13.8,scattered clouds
2,Provideniya,RU,64.3833,-173.3,52.07,80,61,10.6,light rain
3,Shediac,CA,46.2198,-64.5411,77.52,69,40,5.75,scattered clouds
4,Port Alfred,ZA,-33.5906,26.891,57.18,95,100,4.0,light rain
5,Merritt Island,US,28.5392,-80.672,86.0,75,0,5.75,clear sky
6,Thompson,CA,55.7435,-97.8558,68.16,45,40,5.75,scattered clouds
7,Hermanus,ZA,-34.4187,19.2345,55.8,82,96,20.98,overcast clouds
8,Bluff,NZ,-46.6,168.3333,42.8,60,100,15.21,overcast clouds
9,Flinders,AU,-34.5833,150.8552,61.18,59,7,7.0,clear sky
10,Ilulissat,GL,69.2167,-51.1,36.73,97,89,5.61,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,70.11,74,99,10.67,overcast clouds
12,Aasiaat,GL,68.7098,-52.8699,39.33,97,100,9.55,overcast clouds
13,Kropotkin,RU,45.4375,40.5756,67.89,62,6,10.8,clear sky
14,Westerland,DE,54.9079,8.3033,60.82,67,75,9.22,broken clouds
15,Khatanga,RU,71.9667,102.5,58.86,73,99,8.68,overcast clouds
16,Hithadhoo,MV,-0.6,73.0833,82.2,73,100,10.16,overcast clouds
17,Hilo,US,19.7297,-155.09,89.28,77,40,11.5,scattered clouds
18,Axim,GH,4.8699,-2.2405,72.5,84,7,6.35,clear sky
19,Espanola,US,35.9911,-106.0806,78.51,57,100,11.27,overcast clouds
20,Aksay,RU,47.26,39.87,66.42,39,7,5.17,clear sky
21,Georgetown,MY,5.4112,100.3354,84.88,87,20,3.44,few clouds
22,Ahipara,NZ,-35.1667,173.1667,58.6,96,100,6.82,moderate rain
23,Busselton,AU,-33.65,115.3333,54.61,77,5,8.14,clear sky
24,Rikitea,PF,-23.1203,-134.9692,69.75,66,100,22.01,light rain
25,Klaksvik,FO,62.2266,-6.589,50.92,90,99,8.41,overcast clouds
26,Port-Cartier,CA,50.0334,-66.8654,62.82,77,99,7.23,overcast clouds
27,Arisvi,GR,41.0667,25.5833,74.82,69,0,6.6,clear sky
28,Duluth,US,46.7833,-92.1066,75.29,65,0,9.22,clear sky
29,Pontianak,ID,-0.0333,109.3333,78.78,88,20,4.61,few clouds
30,Gorontalo,ID,0.5412,123.0595,80.58,78,100,2.13,light rain
31,Vaini,TO,-21.2,-175.2,80.76,89,20,9.22,few clouds
32,Broome,US,42.2506,-75.833,80.65,75,90,4.0,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,59.56,94,75,2.3,broken clouds
34,Ribeira Grande,PT,38.5167,-28.7,75.16,83,22,9.84,few clouds
35,Kavieng,PG,-2.5744,150.7967,84.06,69,100,7.78,overcast clouds
36,Pevek,RU,69.7008,170.3133,31.95,97,100,14.36,overcast clouds
37,Chokurdakh,RU,70.6333,147.9167,49.53,49,88,8.81,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,50.32,60,100,10.25,overcast clouds
39,Sibu,MY,2.3,111.8167,77.31,88,20,2.3,few clouds
40,Qaanaaq,GL,77.484,-69.3632,40.57,65,11,2.33,few clouds
41,Ayr,GB,55.4627,-4.6339,59.31,82,40,14.97,scattered clouds
42,Cairns,AU,-16.9167,145.7667,82.11,71,100,9.22,overcast clouds
43,Bilibino,RU,68.0546,166.4372,54.75,57,90,18.63,light rain
44,College,US,64.8569,-147.8028,60.75,78,75,11.5,moderate rain
45,Dikson,RU,73.5069,80.5464,40.57,97,100,7.36,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,39.31,87,100,9.22,overcast clouds
47,Dakar,SN,14.6937,-17.4441,76.08,83,98,9.24,overcast clouds
48,Biga,TR,40.2281,27.2422,76.05,90,9,9.6,clear sky
49,Mayumba,GA,-3.432,10.6554,66.94,89,9,5.32,clear sky
50,Nikolskoye,RU,59.7035,30.7861,58.89,94,100,6.67,overcast clouds
51,Muros,ES,42.7762,-9.0603,64.69,94,1,1.86,clear sky
52,Manono,CD,-7.3,27.4167,71.98,34,24,6.6,few clouds
53,Lebu,CL,-37.6167,-73.65,48.6,95,100,6.87,overcast clouds
54,Neryungri,RU,56.6709,124.6491,57.6,71,32,6.2,scattered clouds
55,Bowen,AU,-20.0167,148.2333,71.17,84,100,1.59,overcast clouds
56,Mataura,NZ,-46.1927,168.8643,42.48,98,100,4.18,overcast clouds
57,Salamiyah,SY,35.0113,37.0532,72.01,77,0,16.42,clear sky
58,Tasiilaq,GL,65.6145,-37.6368,40.95,92,100,19.95,moderate rain
59,Victoria,HK,22.2855,114.1577,88.25,82,99,4.0,overcast clouds
60,Cherskiy,RU,68.75,161.3,44.47,65,64,17.87,broken clouds
61,Katsuura,JP,35.1333,140.3,80.71,86,36,7.58,scattered clouds
62,Kahta,TR,37.7855,38.6237,78.17,46,0,1.05,clear sky
63,North Bend,US,43.4065,-124.2243,80.24,90,20,13.8,few clouds
64,Cape Town,ZA,-33.9258,18.4232,57.88,84,0,4.61,clear sky
65,Locri,IT,38.2414,16.2623,79.32,82,0,12.39,clear sky
66,Jamestown,US,42.097,-79.2353,80.24,76,0,0.0,clear sky
67,Sambava,MG,-14.2667,50.1667,65.66,86,5,8.63,clear sky
68,Karratha,AU,-20.7377,116.8463,67.75,23,2,13.62,clear sky
69,Upington,ZA,-28.4478,21.2561,62.98,39,0,11.5,clear sky
70,East London,ZA,-33.0153,27.9116,61.12,83,100,13.49,light rain
71,Berlevag,NO,70.8578,29.0864,50.0,93,100,16.11,light rain
72,Butaritari,KI,3.0707,172.7902,81.25,80,67,15.93,light rain
73,Carnarvon,AU,-24.8667,113.6333,63.55,60,0,14.61,clear sky
74,Viedma,AR,-40.8135,-62.9967,40.93,82,100,7.31,overcast clouds
75,Avarua,CK,-21.2078,-159.775,75.25,64,75,21.85,broken clouds
76,Ushuaia,AR,-54.8,-68.3,33.46,80,0,0.0,clear sky
77,Granja,BR,-3.1203,-40.8261,75.11,78,8,7.27,clear sky
78,Antofagasta,CL,-23.65,-70.4,56.48,76,12,5.73,few clouds
79,Marawi,PH,7.9986,124.2928,74.52,87,100,1.7,overcast clouds
80,Chabahar,IR,25.2919,60.643,80.4,86,3,7.47,clear sky
81,Gaoual,GN,11.75,-13.2,74.05,97,99,1.63,light rain
82,Kahului,US,20.8947,-156.47,93.22,40,20,20.71,few clouds
83,Barrow,US,71.2906,-156.7887,37.42,81,40,10.36,scattered clouds
84,Geraldton,AU,-28.7667,114.6,55.81,94,40,12.66,scattered clouds
85,Fare,PF,-16.7,-151.0167,77.45,75,99,25.48,light rain
86,Vao,NC,-22.6667,167.4833,74.79,79,16,12.75,light rain
87,Elizabeth City,US,36.2946,-76.2511,83.01,79,0,4.61,clear sky
88,Tefe,BR,-3.3542,-64.7114,78.78,74,65,2.3,broken clouds
89,Vanderhoof,CA,54.0166,-124.0198,79.57,36,17,11.07,few clouds
90,Torbay,CA,47.6666,-52.7314,64.27,84,40,5.75,scattered clouds
91,Hervey Bay,AU,-25.2986,152.8535,68.02,52,0,11.01,clear sky
92,Husavik,IS,66.0449,-17.3389,52.0,86,100,3.44,overcast clouds
93,Castro,BR,-24.7911,-50.0119,53.08,95,100,6.38,overcast clouds
94,Port Blair,IN,11.6667,92.75,82.44,83,100,13.8,light rain
95,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,79,4.0,broken clouds
96,Port Hardy,CA,50.6996,-127.4199,64.58,77,20,13.8,fog
97,Chalus,IR,36.655,51.4204,76.46,73,40,2.3,scattered clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,48.22,76,100,3.0,overcast clouds
99,Kapaa,US,22.0752,-159.319,82.11,80,22,4.0,few clouds
100,Talnakh,RU,69.4865,88.3972,51.21,75,1,7.65,clear sky
101,Vestmannaeyjar,IS,63.4427,-20.2734,52.12,86,100,6.62,overcast clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,100,18.41,light rain
103,Iranshahr,IR,27.2025,60.6848,84.54,20,0,4.61,clear sky
104,Iskateley,RU,67.6803,53.1512,65.66,75,0,9.64,clear sky
105,Araouane,ML,18.9048,-3.5265,96.13,29,7,11.01,clear sky
106,Pemba,MZ,-12.974,40.5178,71.35,82,2,12.41,clear sky
107,Ostrovnoy,RU,68.0531,39.5131,63.66,86,100,22.66,overcast clouds
108,Codrington,AU,-38.2667,141.9667,51.03,68,99,5.53,overcast clouds
109,Bathsheba,BB,13.2167,-59.5167,80.06,97,75,17.27,broken clouds
110,Plettenberg Bay,ZA,-34.0527,23.3716,57.74,85,57,16.02,broken clouds
111,Ejutla De Crespo,MX,16.5667,-96.7333,70.25,65,59,7.47,broken clouds
112,Namatanai,PG,-3.6667,152.4333,84.27,68,100,4.52,overcast clouds
113,Guarapari,BR,-20.6667,-40.4975,69.89,80,99,3.53,overcast clouds
114,Mahajanga,MG,-15.7167,46.3167,64.42,94,0,3.44,clear sky
